Date,Open,High,Low,Close,Adj Close,Volume
2023-05-31,35.900002,35.939999,35.740002,35.859001,35.859001,6100
2023-06-01,35.820000,36.200001,35.820000,36.109001,36.109001,4800
2023-06-02,36.299999,36.599998,36.299999,36.520000,36.520000,20200
2023-06-05,36.580002,37.070000,36.430000,36.502998,36.502998,3100
2023-06-06,36.509998,36.599998,36.480000,36.589001,36.589001,7100
2023-06-07,36.689999,36.689999,36.450001,36.467999,36.467999,6800
2023-06-08,36.480000,36.653999,36.436001,36.653999,36.653999,3700
2023-06-09,36.853001,36.853001,36.660000,36.698002,36.698002,2400
2023-06-12,36.744999,36.930000,36.710999,36.929001,36.929001,7900
2023-06-13,37.099998,37.110001,37.040001,37.090000,37.090000,47900
2023-06-14,37.060001,37.270000,36.750000,37.099998,37.099998,196100
2023-06-15,37.200001,37.467999,37.200001,37.433998,37.433998,4600
2023-06-16,37.500000,37.520000,37.366001,37.366001,37.366001,13600
2023-06-20,37.240002,37.290001,37.119999,37.258999,37.258999,3800
2023-06-21,37.148998,37.243999,37.099998,37.139000,37.139000,6300
2023-06-22,37.080002,37.220001,37.080002,37.220001,37.220001,9500
2023-06-23,37.044998,37.112999,37.029999,37.055000,37.055000,3100
2023-06-26,37.029999,37.036999,36.950001,36.950001,36.950001,19600
2023-06-27,37.000000,37.279999,37.000000,37.240002,37.240002,18700
2023-06-28,37.160000,37.299999,37.150002,37.200001,37.200001,17500
2023-06-29,37.279999,37.360001,37.259998,37.339001,37.339001,4100
2023-06-30,37.669998,37.759998,37.630001,37.720001,37.720001,160300
2023-07-03,37.706001,37.750000,37.669998,37.735001,37.735001,6300
2023-07-05,37.529999,37.750000,37.529999,37.674999,37.674999,10400
2023-07-06,37.410000,37.490002,37.290001,37.459999,37.459999,41000
2023-07-07,37.445000,37.650002,37.414001,37.414001,37.414001,37900
2023-07-10,37.485001,37.485001,37.389999,37.453999,37.453999,4600
2023-07-11,37.529999,37.665001,37.520000,37.665001,37.665001,489000
2023-07-12,37.955002,37.959999,37.849998,37.894001,37.894001,5900
2023-07-13,38.037998,38.090000,38.009998,38.090000,38.090000,4600
2023-07-14,38.099998,38.150002,38.069000,38.069000,38.069000,2300
2023-07-17,38.110001,38.240002,38.110001,38.195999,38.195999,9400
2023-07-18,38.139999,38.379002,38.139999,38.349998,38.349998,10700
2023-07-19,38.428001,38.462002,38.360001,38.379002,38.379002,4600
2023-07-20,38.279999,38.299999,38.205002,38.205002,38.205002,1000
2023-07-21,38.389999,38.389999,38.220001,38.259998,38.259998,21800
2023-07-24,38.230000,38.400002,38.230000,38.349998,38.349998,3900
2023-07-25,38.320000,38.455002,38.320000,38.436001,38.436001,2000
2023-07-26,38.384998,38.426998,38.320000,38.426998,38.426998,2300
2023-07-27,38.472000,38.472000,38.230000,38.278000,38.278000,3800
2023-07-28,38.500000,38.570000,38.500000,38.520000,38.520000,5100
2023-07-31,38.532001,38.610001,38.480999,38.509998,38.509998,6000
2023-08-01,38.380001,38.505001,38.380001,38.487000,38.487000,25700
2023-08-02,38.209999,38.290001,38.090000,38.119999,38.119999,53200
2023-08-03,37.959999,38.118000,37.931000,38.063999,38.063999,13400
2023-08-04,38.240002,38.255001,37.924999,37.924999,37.924999,4200
2023-08-07,38.099998,38.198002,38.070000,38.198002,38.198002,2000
2023-08-08,37.919998,38.126999,37.884998,38.095001,38.095001,6100
2023-08-09,37.950001,38.090000,37.889999,37.889999,37.889999,41200
2023-08-10,37.980000,38.180000,37.918999,37.918999,37.918999,900
2023-08-11,37.820000,37.950001,37.810001,37.880001,37.880001,14000
2023-08-14,37.963001,38.056999,37.959999,38.051998,38.051998,11200
2023-08-15,37.880001,37.930000,37.740002,37.740002,37.740002,10600
2023-08-16,37.770000,37.830002,37.500000,37.500000,37.500000,16900
2023-08-17,37.580002,37.580002,37.250000,37.314999,37.314999,5300
2023-08-18,37.020000,37.340000,37.020000,37.285000,37.285000,3600
2023-08-21,37.320000,37.502998,37.320000,37.502998,37.502998,4600
2023-08-22,37.580002,37.580002,37.380001,37.410000,37.410000,2800
2023-08-23,37.570000,37.779999,37.529999,37.720001,37.720001,6000
2023-08-24,37.639999,37.681999,37.355999,37.355999,37.355999,2000
2023-08-25,37.459999,37.590000,37.330002,37.560001,37.560001,5900
2023-08-28,37.689999,37.799999,37.630001,37.743999,37.743999,8200
2023-08-29,37.779999,38.161999,37.779999,38.161999,38.161999,1300
2023-08-30,38.160000,38.320000,38.160000,38.271999,38.271999,2900
2023-08-31,38.363998,38.369999,38.292999,38.292999,38.292999,1300
